     1.028,     2.167,     0.000,     0.192
     2.018,     2.358,     0.191,     0.165
     3.012,     2.494,     0.136,     0.167
     3.984,     2.685,     0.191,     0.390
     4.925,     3.229,     0.544,     1.026
     4.977,     3.283,     0.054,     2.321
     5.024,     3.447,     0.163,     2.821
     5.076,     3.556,     0.109,     2.778
     5.124,     3.719,     0.163,     2.977
     5.178,     3.855,     0.136,     4.518
     5.250,     4.372,     0.517,    16.330
     5.308,     5.733,     1.361,    13.403
     5.352,     5.978,     0.245,    21.343
     5.406,     8.157,     2.179,    33.872
     5.450,     9.409,     1.252,    21.888
     5.501,    10.142,     0.733,     7.518
     5.553,    10.168,     0.025,     0.492
     6.502,    10.687,     0.519,     5.405
     6.555,    10.986,     0.299,     1.666
     6.610,    10.850,    -0.136,    -2.325
     7.543,    11.286,     0.435,    -3.266
     7.598,    11.095,    -0.191,    -3.484
